# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
787	1.0	0.0
788	0.0	34386.39552972745
789	0.0	11216.657540993765
790	0.0	33724.81905471068
791	0.25	36677.18187098702
792	0.75	14939.233620185405
793	0.0	19939.919448806904
794	0.0	21210.70290042553
795	0.5	52949.540881905705
796	0.0	44153.77976442687
797	0.25	35876.19977568587
798	0.5	57344.897056464106
799	0.0	25112.70987277385
800	0.0	25904.19186570216
801	0.0	24530.888743698597
802	0.0	30005.56678615976
803	0.0	39371.82070536073
804	0.0	6544.382979860529
805	0.25	51425.804390882455
806	0.0	36931.31432379596
807	0.0	11956.364767276682
808	0.0	32181.31340923719
809	0.0	16049.586020759307
810	1.0	0.0
811	0.0	28003.999728360213
812	0.25	53568.42459815865
813	0.5	12112.218806752935
814	0.25	39504.38163460543
815	1.0	0.0
816	0.25	26013.828075956553
817	0.0	22726.7564634094
818	0.0	23130.39984111674
819	0.0	9224.908575066365
820	0.0	28275.43523418717
821	0.0	12644.938592100516
822	0.5	34676.529868040234
823	0.5	67509.71078756265
824	0.0	30733.34153939504
825	0.25	41678.843926638365
826	0.5	59060.44529005885
827	0.0	13259.846713743173
828	0.5	55296.95617617108
829	0.0	27794.94167957455
830	0.0	31325.88562881574
831	0.0	20670.931605738588
832	0.25	7107.115876395255
833	0.0	37034.588593873195
834	0.0	33763.014360680245
835	0.0	35247.19827133231
836	0.0	19996.333724237047
837	0.75	10220.389785710722
838	0.25	25357.24075635274
839	0.0	36619.668264174834
840	0.0	46934.167689993046
841	0.0	9855.206003878266
842	0.25	36263.28169275075
843	0.0	11321.791045949794
844	0.25	17498.7189952905
845	0.0	8708.360029035248
846	0.25	14030.930315765241
847	0.25	33854.14208487297
848	0.0	34008.685632492416
849	0.0	10594.311787863262
850	0.25	26392.94463178764
851	0.0	30242.099681985565
852	0.0	19914.39119318966
853	0.25	23791.291708437104
854	0.0	54514.24134382978
855	0.0	13625.76327426359
856	0.0	32290.858144522645
857	0.25	17824.12675426652
858	0.25	14055.915845402827
859	0.0	37044.876305619255
860	0.75	44704.13223374635
861	0.0	34957.34231476672
862	0.5	32619.680783478543
863	0.25	4490.94335672756
864	0.25	28411.537099008758
865	0.5	26392.549492884427
866	0.0	45485.58720515575
867	0.0	23926.214243634604
868	0.0	8937.749236356467
869	0.0	12248.40393383056
870	0.75	57397.73680316284
871	0.0	52312.24006379489
872	0.0	22934.638896025717
873	0.25	15099.949386436492
874	0.0	16756.147455540486
875	0.5	47797.922413097695
876	0.0	27666.98115784675
877	0.0	12896.32988977246
878	0.0	13238.601420656778
879	0.0	36749.80306776706
880	0.25	45845.73544779172
881	0.0	34135.8509111451
882	0.0	10574.46031505242
883	0.0	8651.12631523516
884	0.0	1833.2724779611453
885	0.0	19303.710228647105
886	0.0	10186.705677770078
887	0.25	19880.35490565623
888	0.0	31431.75158521626
889	0.25	25409.76665681228
890	0.0	18247.647922253236
891	0.0	31314.23121073749
892	0.0	27962.23298239056
893	0.0	40398.1738940347
894	0.0	5972.746288636699
895	0.0	64337.15561078861
896	0.75	35725.72882287204
897	0.0	13341.714299167506
898	0.0	39361.99636175297
899	0.25	24382.099648627143
900	0.0	42138.34184745792
901	0.0	24055.023910361342
902	0.75	3504.208518192172
903	0.0	17730.244949576445
904	0.0	32731.766839278862
905	0.0	8353.237601695582
906	0.0	27070.713884779252
907	0.5	65625.41086296551
908	0.25	47504.969330038875
909	0.25	21173.492822796106
910	0.0	37425.85755127948
911	0.5	39972.50410891138
912	0.0	46183.24649124406
913	0.0	5101.069256081246
914	0.25	21992.17229693507
915	0.75	8760.021744761616
916	0.0	46855.14827154111
917	0.0	13653.419170062989
918	0.0	20684.60510042496
919	0.25	23815.74833843236
920	0.0	53831.90726127941
921	0.0	50555.00035174191
922	1.0	0.0
923	0.0	16773.34056480322
924	0.0	29412.97127166763
925	0.0	27805.54401385598
926	0.0	15516.358641791157
927	0.25	30921.786279883236
928	0.25	37979.813277721405
929	0.0	26518.119857180864
930	0.25	26927.662201070536
931	0.0	30787.05940407235
932	0.0	3829.998023924418
933	0.0	9407.302588107996
934	0.0	16486.471317126416
935	0.0	56784.540799679235
936	0.0	45051.10966425855
937	0.25	37996.73245226344
938	0.25	46987.97183809802
939	0.0	8295.67219747696
940	0.0	10231.50836979039
941	0.25	35590.82183785116
942	0.0	33626.754518947564
943	0.25	29627.377092217404
944	0.0	30874.339507776313
