# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
607	0.0	53390.450364211574
608	0.5	25075.80759236589
609	0.5	21155.81187652424
610	0.0	16812.91811913252
611	0.0	17846.245373948477
612	0.0	23997.20273958519
613	0.5	22365.56486785412
614	0.25	18877.869406404596
615	0.0	13671.89089616295
616	1.0	-1
617	0.25	24587.776112059753
618	0.0	6567.3855260247365
619	0.0	24023.28142162878
620	0.0	47976.42961749807
621	0.0	32721.998425316997
622	0.25	34340.924034981676
623	0.0	31336.467036046088
624	1.0	-1
625	0.0	32106.48462327663
626	0.0	20465.131849399768
627	0.25	57922.5659162427
628	0.0	14618.698327685706
629	0.0	8660.144665278494
630	0.25	21417.26011844973
631	0.0	28675.936007522978
632	0.0	26390.38630039431
633	0.25	39464.85295301924
634	0.0	42756.98390707839
635	0.0	8950.426161056384
636	0.0	55996.124911122024
637	0.0	34126.49036152288
638	0.0	35612.07847157493
639	0.25	51072.894676122814
640	0.0	56257.77855468914
641	0.0	36629.884928581305
642	0.0	39549.0433605155
643	0.0	21707.703636260703
644	0.5	32473.49312971346
645	0.25	19442.68609971429
646	0.0	37553.24533721432
647	0.0	16906.36976098176
648	0.0	8637.15871621389
649	0.0	33842.23002928775
650	0.0	39407.867373898625
651	0.25	25487.725179332
652	0.0	28003.86447191704
653	0.75	31514.482628088444
654	0.25	10898.927283162871
655	0.0	25373.935922747478
656	0.0	34861.765206209384
657	0.25	27394.863312908758
658	0.0	9627.731801127084
659	0.0	13199.567174888216
660	0.0	42747.912178514525
661	0.5	12337.684294907376
662	0.0	42395.32452786807
663	0.5	66997.12645844556
664	0.25	44123.69464819009
665	0.0	8670.85160408169
666	0.0	26359.505231608637
667	0.25	33078.68142565712
668	0.25	8979.232089749226
669	0.25	38015.698858692
670	0.0	19361.56117916107
671	0.25	16164.461046922952
672	1.0	-1
673	0.0	29575.793572352268
674	0.75	53672.95657703653
675	0.0	38505.54903072771
676	0.0	11480.352021753788
677	0.0	32827.24929379765
678	0.0	17586.444232147187
679	0.0	44419.84991345089
680	1.0	-1
681	0.25	35820.22446704408
682	0.0	31790.940518607385
683	0.25	21798.767707310617
684	0.0	8790.450328495353
685	0.0	15275.543753174134
686	0.25	29129.2006635728
687	0.0	27725.47608066816
688	0.0	19380.09359978605
689	0.5	24463.08549051173
690	0.0	20507.741413312033
691	0.0	26605.36215279717
692	0.0	20815.146623528562
693	0.0	32498.957304283977
694	0.0	23202.11181079503
695	0.0	13262.175669427961
696	0.0	29408.91910798382
697	0.75	78280.73434904218
698	0.0	33601.47549037356
699	0.0	6281.63784602657
700	0.0	15897.741776541807
701	0.0	8175.024317810312
702	0.0	10909.17243855074
703	0.0	28541.161447763443
704	0.0	30650.135350530036
705	0.0	14762.904040049762
706	0.25	54605.911549180746
707	0.5	75766.9832741376
708	0.25	47487.197698404394
709	0.0	11046.727237524465
710	1.0	-1
711	0.0	18236.89222021494
712	0.0	12610.727356979623
713	0.0	12784.175137290731
714	0.5	18767.19436980784
715	0.25	56074.11784864962
716	0.0	8287.215228425339
717	0.25	29826.122673694044
718	0.25	18611.549094008904
719	0.5	28487.609304953367
